comentario,sentimento
esse juiz mds,Positivo
o time gigante a diretoria tava o jogo pqp,Positivo
ruim bagre rs,Negativo
velho slc slc lixo a zaga amador,Negativo
vergonha jogou mt esse cara ne pqp gigante,Positivo
hoje pipocou tava,Negativo
lixo o tecnico slc o tecnico,Negativo
slc lixo o tecnico nada mano ne,Negativo
genio pessimo gigante kkkk,Positivo
hj lixoo vergonha slc pqp nada kkkk,Positivo
o jogo esse juiz,Negativo
o time slc jogou mt,Positivo
ne meu deus lixo!!!,Negativo
slc lindo,Positivo
gigante a diretoria bagre brabo,Positivo
craque o ataque hj,Positivo
gigante o tecnico hj o jogo,Positivo
esse cara voando meu deus o goleiro gigante a diretoria,Positivo
esse cara gigante,Positivo
gigante o tecnico esse juiz hj pqp a diretoria,Negativo
o tecnico meu deus monstro mano,Positivo
lindo monstro genio...,Positivo
entregou tava ne horrivel rs,Positivo
o ataque esse juiz monstro mds,Positivo
jogou mt vergonha!!!,Negativo
ruim pipocou o jogo,Negativo
assim vergonha,Negativo
o goleiro esse juiz entregou podre cara podre,Negativo
pessimo a zaga entregou horrivel cara,Negativo
meu deus amassou ne oo time voando,Positivo
o ataque gigante aula nada gigante,Positivo
mds a zaga entregou slc esse juiz esse cara,Negativo
esse cara voando bagre aula ne,Positivo
pqp gigante horrivel ne,Negativo
esse cara esse cara,Positivo
hj esse cara esse juiz fez,Negativo
braboo voandoo tudoo ne amador,Positivo
ne o goleiro bagre hoje tudo meu deus,Positivo
amador hj tava jogou mt,Negativo
o ataque tudo mds craque,Positivo
fez a zaga slc hoje meu deus entregou,Negativo
o goleiro a zaga gigante hj o ataque,Negativo
cara o tecnico,Negativo
o time aula lindo o tecnico aula o time,Positivo
a zaga cara meu deus,Positivo
lixo amassou pipocou bagre,Positivo
mds voando fez o goleiro bagre a zaga,Negativo
pessimo aula amador o goleiro cara tudo,Negativo
horrivel aula genio podre,Positivo
aula esse juiz meu deus nada,Positivo
esse cara aula hj monstroo oo goleiroo monstro,Positivo
lixo genio brabo,Positivo
horrivel pessimoo horrivel,Negativo
oo goleiroo tudo,Negativo
amassou amassou entregou o ataque tava,Negativo
oo ataque fez...,Negativo
ruim podre nada ruim,Negativo
assim brabo,Positivo
genioo hj cara craque,Positivo
fez jogou mt monstro ??,Positivo
pipocou meu deus oo jogoo slc,Negativo
a diretoria cara aula mano,Negativo
o ataque bagre,Positivo
pqp velhoo pipocou hj,Negativo
vergonha tava mds horrivel assim,Positivo
ruim a zaga o jogo pessimo nada esse juiz,Positivo
hj oo ataque,Negativo
pipocou tudo,Negativo
ruim lindo,Negativo
bagre hoje ??,Negativo
tudo o tecnico vergonha o tecnico o tecnico a zaga,Negativo
meu deus lixo,Negativo
o ataque a diretoria amador bagre o jogo tava,Negativo
a diretoria lindo voando,Positivo
velho aula esse cara mds brabo amassou,Positivo
craque assim lindo brabo o goleiro hj,Positivo
meu deus tudo,Negativo
tudo slc a diretoria horrivel,Negativo
tudo esse juiz bagre o jogo,Negativo
tudo jogou mt meu deus jogou mt,Positivo
entregou podre o time meu deus,Negativo
voandoo esse cara meu deus craque,Positivo
a diretoria mds o tecnico o goleiro gigante,Positivo
braboo a diretoria voando kkkk,Positivo
tudoo oo ataque jogou mt monstroo hj,Positivo
oo time gigante lindoo velhoo pessimo,Positivo
hoje ruim craque mano,Negativo
tava a diretoria a diretoria esse cara,Positivo
o tecnico a zaga o ataque o goleiro a diretoria lindo,Positivo
pqp a zaga o ataque mano pessimo amassou,Positivo
o ataque ne pipocou,Negativo
craque slc amassou velho genio kkkk,Negativo
o tecnico hoje rs,Negativo
brabo monstro voando bagre o tecnico,Positivo
bagre oo ataque,Negativo
craque brabo lindo hj gigante mano,Positivo
genio aula esse cara genio hoje velho,Negativo
vergonha mds bagre velhoo esse cara oo time,Negativo
slc horrivel,Negativo
podre o ataque velho podre bagre...,Negativo
esse juiz bagre fez craque aula a diretoria,Positivo
craque o tecnico,Positivo
lindo assim fez o ataque o tecnico,Negativo
mds voando mano,Positivo
podre amador aula slc esse cara,Negativo
esse cara jogou mt kkkk,Positivo
a diretoria hj vergonha,Negativo
o time a diretoria ne cara pessimo amador rs,Negativo
meu deus amassou kkkk,Positivo
esse juiz o ataque lixo o ataque esse cara...,Negativo
pipocou fez aula,Negativo
aula monstroo oo ataque,Positivo
hj vergonha meu deus podre hj,Negativo
hj bagre oo tecnico,Negativo
ruim o jogo cara gigante,Positivo
jogou mt pessimo monstro monstro genio!!!,Positivo
monstro podre pessimo tava rs,Negativo
vergonha esse cara assim kkkk,Negativo
jogou mt oo ataque assim esse cara...,Positivo
o ataque assim kkkk,Negativo
o time nada o jogo,Negativo
aula hj horrivel,Positivo
podre horrivel bagre o time genio pqp,Positivo
o ataque esse juiz gigante horrivel fez,Negativo
lixo o tecnico meu deus entregou lixo,Positivo
esse juiz horrivel vergonha,Negativo
mds gigante vergonha o jogo hoje,Positivo
hj nada rs,Positivo
gigante o ataque monstro voando gigante cara,Positivo
lixo craque amador assim o tecnico meu deus ??,Positivo
horrivel hj rs,Negativo
a diretoria a zaga brabo entregou bagre esse cara,Negativo
monstro amassou,Positivo
gigante oo tecnicoo ruim hj oo goleiroo genio,Negativo
entregou meu deus hj o tecnico mano,Negativo
meu deus slc tudoo esse juiz amassou,Positivo
ne lixo amassou,Positivo
ruim amador velho amador esse cara...,Positivo
esse cara ruim o jogo fez,Negativo
bagre brabo tava a diretoria gigante bagre,Positivo
a diretoria o goleiro hj bagre pipocou,Negativo
meu deus meu deus amassou entregou,Negativo
horrivel meu deus!!!,Negativo
monstro o jogo pipocou!!!,Positivo
a zaga nada o tecnico craque pipocou kkkk,Positivo
ruim fez o goleiro podre,Negativo
hoje meu deus,Positivo
esse juiz bagre vergonha o ataque pipocou,Negativo
nada entregou brabo genio,Positivo
amassou brabo amassou o goleiro fez,Positivo
podre genio o jogo hoje,Negativo
pessimoo velhoo hj hj podre oo ataque,Negativo
o tecnico ne amador,Negativo
o jogo lixo ne a zaga velho esse cara,Negativo
tudo pqp jogou mt aula o time,Positivo
o goleiro esse juiz fez amador...,Negativo
meu deus genio aula craque,Negativo
esse cara gigante esse juiz,Positivo
o tecnico voando pipocou ruim podre amador,Negativo
amador amador o ataque horrivel meu deus o tecnico ??,Negativo
entregou o goleiro tava lixo fez,Negativo
fez craque a diretoria hj monstro velho rs,Positivo
assim craque o jogo ??,Positivo
gigante meu deus brabo jogou mt o goleiro ruim,Negativo
a diretoria pipocou meu deus lixo lixo!!!,Negativo
ruim ne entregou amassou,Negativo
o ataque o tecnico rs,Positivo
esse cara hoje o goleiro esse cara,Positivo
esse juiz a zaga,Positivo
esse cara entregou lixo...,Negativo
monstro genio,Positivo
podre o tecnico podre mds esse juiz esse juiz kkkk,Negativo
amassou amador ne voando o time ??,Positivo
lixo esse juiz o time a zaga podre,Positivo
craque horrivel amassou esse juiz,Positivo
a diretoria pessimo,Negativo
slc cara jogou mt o tecnico vergonha,Positivo
esse juiz hoje o tecnico o jogo lindo...,Negativo
a zaga monstro ruim genio podre,Negativo
o ataque podre velho a zaga o ataque ne,Positivo
meu deus bagre o time mds hj tava...,Positivo
vergonha lindo,Positivo
horrivel bagre rs,Negativo
entregou o jogo esse juiz a zaga,Negativo
esse cara oo jogoo a diretoria oo goleiroo slc,Positivo
mds nada meu deus,Negativo
brabo jogou mt meu deus rs,Positivo
craque o jogo o ataque craque,Positivo
voando o goleiro,Positivo
a zaga hj vergonha velho tava,Negativo
ne o ataque!!!,Positivo
craque genioo monstroo mds!!!,Positivo
aula oo jogoo hj horrivel pessimoo lixo,Negativo
pqp oo jogo kkkk,Negativo
o tecnico fez o goleiro tava horrivel nada,Negativo
voando pessimo,Positivo
esse juiz lindoo hoje esse cara oo ataque esse juiz,Positivo
craque podre,Positivo
esse juiz o tecnico o time hoje o ataque esse cara rs,Negativo
podre a zaga esse juiz,Positivo
o time pipocou hoje,Negativo
lixo meu deus,Negativo
podre o ataque amador,Negativo
voando ne ??,Positivo
hoje monstro genio meu deus vergonha fez,Negativo
esse juiz cara genio,Negativo
podre tudo,Negativo
braboo nada,Positivo
meu deus o jogo kkkk,Negativo
ruim a zaga hoje oo ataque oo goleiro,Positivo
ne lindo craque,Positivo
o time a zaga mds ??,Positivo
o ataque genio,Positivo
o jogo meu deus,Negativo
a diretoria o goleiro o tecnico mds pessimo assim,Negativo
hj pipocou lindo fez pessimo o goleiro,Negativo
oo ataque lindoo pipocou assim monstroo podre kkkk,Positivo
esse juiz pqp ruim mds jogou mt nada,Positivo
craque a zaga craque voando a diretoria rs,Positivo
o time genio,Positivo
ne aula craque oo jogoo monstro,Positivo
amassou esse cara,Positivo
cara amador,Positivo
